Ordre;Nom;Prenom;Temps Corrige; 
1;Stephane;Peterhansel;436:43:49
2;Toomas;Heikkinen;575:38:20
3;Sylvain;Pussier;695:16:3
4;Bertrand;Balas;733:26:33
5;Philippe;Wambergue;980:11:1
6;Jacques;Villeneuve;983:33:45
7;Jean-Louis;Schlesser;1006:20:14
8;Jean-Luc;Richner;1010:10:7
9;Olivier;Pernaut;1013:24:54
10;Christophe;Jouet;1022:51:12
11;Margot;Laffite;1032:37:34
12;Jacques;Wolff;1034:31:45
13;Andrea;Dubourg;1047:15:59
14;Didier;Thoral;1048:49:19
15;Adrien;Tambay;1062:49:33
16;Jean-Pierre;Richelmi;1208:10:54
17;Jean-Philippe;Dayraut;1347:14:9
18;Gilles;Stievenart;1363:45:32
19;Gerald;Fontanel;1378:53:3
20;Olivier;Panis;1424:39:54
21;Benoit;Treluyer;1489:22:12; 
