Ordre;Nom;Prenom;Temps Corrige; 
1;Bertrand;Balas;663:31:39
2;Sylvain;Pussier;669:13:12
3;Romain;Grosjean;891:52:58
4;Andrea;Dubourg;901:50:19
5;Franck;Lagorce;903:54:42
6;Adrien;Tambay;911:54:37
7;Jean-Baptiste;Dubourg;915:28:14
8;Jacques;Wolff;927:57:3
9;Emmanuel;Moinel;933:25:59
10;Christophe;Jouet;939:5:10
11;Olivier;Pernaut;942:2:55
12;Margot;Laffite;945:27:40
13;Didier;Thoral;956:48:39
14;Benjamin;Riviere;1119:5:5
15;Dominique;Chianale;1125:0:28
16;Jean-Philippe;Dayraut;1211:5:22
17;Gerald;Fontanel;1213:21:5
18;Christian;Beroujon;1217:57:54
19;Gilles;Stievenart;1222:50:1
20;Eddy;Benezet;1243:43:46
21;Joel;Lopez;1246:21:1
22;Berenice;Demoustier;1268:20:42
23;Benoit;Treluyer;1273:48:36
24;Olivier;Panis;1276:25:30
25;Nathanael;Berthon;1286:59:42; 
